date,open,high,low,close,adjclose,volume
2024-08-13,1734.5,1750.5,1729.0,1745.0,1739.854248046875,265291.0
2024-08-14,1745.0,1747.5,1718.5,1733.5,1728.38818359375,280623.0
2024-08-15,1750.0,1788.0,1750.0,1784.5,1779.2376708984375,246140.0
2024-08-16,1784.5,1794.0,1773.5,1773.5,1768.2703857421875,272864.0
2024-08-19,1758.5,1763.5,1752.5,1753.0,1747.8306884765625,182285.0
2024-08-20,1753.0,1759.5,1745.0,1749.5,1744.341064453125,120975.0
2024-08-21,1741.5,1747.5,1728.5,1731.0,1725.8956298828125,147755.0
2024-08-22,1745.5,1763.5,1745.0,1745.0,1739.854248046875,157953.0
2024-08-23,1758.0,1779.5,1752.5,1758.0,1752.8160400390625,251321.0
2024-08-26,1758.5,1774.5,1758.0,1763.0,1757.8011474609375,153938.0
2024-08-27,1769.0,1784.0,1769.0,1770.0,1764.780517578125,109123.0
2024-08-28,1772.0,1786.5,1769.5,1773.0,1767.771728515625,112243.0
2024-08-29,1776.5,1792.5,1774.5,1787.5,1782.22900390625,122074.0
2024-08-30,1782.5,1796.0,1781.0,1783.5,1778.2408447265625,158872.0
2024-09-02,1790.0,1793.5,1775.0,1785.5,1780.23486328125,110810.0
2024-09-03,1795.0,1799.0,1781.0,1781.0,1775.7481689453125,181113.0
2024-09-04,1760.0,1775.0,1759.0,1759.0,1753.8131103515625,144659.0
2024-09-05,1760.5,1769.0,1700.0,1700.0,1694.987060546875,275348.0
2024-09-06,1699.5,1726.5,1694.5,1706.5,1701.4677734375,183690.0
2024-09-09,1715.5,1724.5,1692.0,1720.5,1715.426513671875,155121.0
2024-09-10,1646.0,1684.5,1633.5,1684.5,1679.5328369140625,364023.0
2024-09-11,1661.5,1676.0,1642.5,1663.0,1658.0960693359375,497443.0
2024-09-12,1678.5,1681.0,1628.0,1628.0,1623.199462890625,237725.0
2024-09-13,1600.0,1612.0,1579.0,1600.0,1595.2818603515625,460161.0
2024-09-16,1605.0,1619.5,1605.0,1618.5,1613.727294921875,264751.0
2024-09-17,1616.5,1627.5,1604.5,1610.0,1605.2525634765625,253807.0
2024-09-18,1602.0,1604.5,1591.5,1598.0,1593.287841796875,149176.0
2024-09-19,1605.5,1618.5,1602.0,1605.0,1600.2672119140625,225836.0
2024-09-20,1601.0,1618.0,1595.0,1601.0,1596.2789306640625,228843.0
2024-09-23,1586.5,1591.5,1567.0,1576.5,1571.8511962890625,250981.0
2024-09-24,1576.5,1581.5,1560.5,1562.0,1557.3939208984375,218388.0
2024-09-25,1557.0,1569.0,1551.5,1569.0,1564.373291015625,180250.0
2024-09-26,1589.0,1597.5,1571.5,1585.0,1580.326171875,257611.0
2024-09-27,1585.0,1591.0,1566.0,1575.0,1570.3555908203125,159664.0
2024-09-30,1572.5,1585.0,1571.5,1571.5,1566.865966796875,116817.0
2024-10-01,1582.0,1608.0,1578.0,1605.5,1600.7657470703125,243710.0
2024-10-02,1610.5,1635.0,1610.5,1629.5,1624.6949462890625,365567.0
2024-10-03,1631.5,1635.0,1612.0,1616.0,1611.234619140625,229494.0
2024-10-04,1603.5,1614.0,1592.0,1598.5,1593.7862548828125,252427.0
2024-10-07,1599.5,1603.0,1588.5,1599.0,1594.2847900390625,262654.0
2024-10-08,1586.5,1593.0,1581.0,1585.0,1580.326171875,130875.0
2024-10-09,1586.5,1600.0,1586.5,1595.0,1590.2967529296875,116585.0
2024-10-10,1605.0,1609.0,1592.5,1596.5,1591.792236328125,106647.0
2024-10-11,1600.5,1605.5,1591.5,1596.0,1591.293701171875,91542.0
2024-10-14,1601.0,1624.5,1601.0,1622.5,1617.715576171875,91681.0
2024-10-15,1633.5,1641.0,1604.5,1613.5,1608.741943359375,133825.0
2024-10-16,1619.0,1646.5,1619.0,1645.5,1640.647705078125,125472.0
2024-10-17,1641.0,1647.0,1633.0,1643.0,1638.1551513671875,188324.0
2024-10-18,1643.0,1654.0,1632.0,1638.0,1633.169921875,395783.0
2024-10-21,1645.0,1649.0,1634.0,1634.5,1629.68017578125,113333.0
2024-10-22,1636.5,1638.0,1610.5,1618.5,1613.727294921875,303958.0
2024-10-23,1621.5,1634.5,1620.5,1624.0,1619.211181640625,92688.0
2024-10-24,1624.5,1628.0,1602.5,1602.5,1597.7745361328125,217496.0
2024-10-25,1605.5,1607.5,1587.5,1594.5,1589.798095703125,244233.0
2024-10-28,1594.5,1606.0,1580.0,1606.0,1601.26416015625,285303.0
2024-10-29,1613.5,1620.5,1600.5,1600.5,1595.780517578125,133173.0
2024-10-30,1601.0,1601.5,1513.0,1551.5,1546.9248046875,448996.0
2024-10-31,1550.0,1550.0,1519.0,1520.5,1516.016357421875,256195.0
2024-11-01,1523.0,1531.0,1519.0,1526.0,1521.500244140625,114862.0
2024-11-04,1526.0,1571.0,1515.0,1531.0,1526.4853515625,253471.0
2024-11-05,1533.0,1560.0,1398.0,1412.0,1407.8363037109375,911085.0
2024-11-06,1447.5,1454.5,1390.0,1394.0,1389.8892822265625,952128.0
2024-11-07,1391.5,1393.5,1360.0,1372.0,1367.954345703125,1061821.0
2024-11-08,1381.0,1405.5,1377.5,1397.5,1393.3790283203125,462873.0
2024-11-11,1410.0,1419.5,1405.0,1407.0,1402.85107421875,378103.0
2024-11-12,1446.5,1450.5,1372.0,1409.5,1405.34375,822386.0
2024-11-13,1434.0,1446.0,1413.0,1426.0,1421.794921875,606651.0
2024-11-14,1428.5,1442.5,1416.5,1440.0,1435.753662109375,588283.0
2024-11-15,1421.0,1421.0,1391.0,1392.5,1388.393798828125,695153.0
2024-11-18,1392.5,1392.5,1377.5,1386.0,1381.9130859375,439495.0
2024-11-19,1391.0,1400.0,1386.0,1398.5,1394.3760986328125,342713.0
2024-11-20,1409.5,1421.0,1399.5,1409.0,1404.8450927734375,426457.0
2024-11-21,1392.0,1414.5,1390.0,1413.5,1409.331787109375,286322.0
2024-11-22,1422.0,1471.5,1419.0,1462.0,1457.6888427734375,442834.0
2024-11-25,1453.5,1466.5,1440.5,1449.5,1445.2257080078125,398126.0
2024-11-26,1460.5,1466.5,1444.0,1454.0,1449.71240234375,206806.0
2024-11-27,1459.5,1464.0,1449.0,1460.0,1455.6947021484375,344548.0
2024-11-28,1474.5,1479.5,1466.5,1472.0,1467.6593017578125,203837.0
2024-11-29,1467.0,1474.0,1463.0,1471.0,1466.6622314453125,503966.0
2024-12-02,1479.5,1489.5,1472.5,1472.5,1468.1578369140625,377919.0
2024-12-03,1479.0,1510.0,1479.0,1507.5,1503.0546875,285421.0
2024-12-04,1498.5,1498.5,1455.0,1461.5,1457.1903076171875,450760.0
2024-12-05,1462.0,1479.5,1461.5,1470.5,1466.163818359375,392867.0
2024-12-06,1472.5,1495.0,1472.5,1486.5,1482.11669921875,206106.0
2024-12-09,1492.5,1498.5,1481.0,1493.0,1488.597412109375,282429.0
2024-12-10,1491.0,1499.5,1475.5,1475.5,1471.14892578125,173658.0
2024-12-11,1476.0,1486.5,1469.0,1482.5,1478.1282958984375,181926.0
2024-12-12,1479.5,1482.5,1466.0,1480.5,1476.13427734375,303881.0
2024-12-13,1475.0,1475.0,1452.5,1458.5,1454.1990966796875,282172.0
2024-12-16,1460.0,1478.5,1456.0,1462.5,1458.187255859375,261795.0
2024-12-17,1445.5,1470.5,1443.5,1465.0,1460.6800537109375,206943.0
2024-12-18,1458.0,1464.0,1442.5,1447.0,1442.7332763671875,271876.0
2024-12-19,1440.5,1447.0,1416.5,1423.0,1418.8038330078125,292407.0
2024-12-20,1420.0,1433.0,1404.5,1433.0,1428.7744140625,361808.0
2024-12-23,1439.0,1458.0,1439.0,1454.0,1449.71240234375,266397.0
2024-12-27,1456.5,1459.5,1445.0,1459.0,1454.69775390625,162888.0
2024-12-30,1457.0,1465.0,1445.0,1446.5,1442.234619140625,228275.0
2025-01-02,1450.0,1479.0,1449.0,1475.5,1471.14892578125,173714.0
2025-01-03,1475.5,1488.5,1472.0,1475.0,1470.6505126953125,122205.0
2025-01-07,1471.5,1492.5,1462.0,1482.0,1477.6298828125,419525.0
2025-01-08,1484.0,1490.0,1467.5,1487.0,1482.614990234375,207686.0
2025-01-09,1483.5,1509.0,1481.5,1508.5,1504.0516357421875,199244.0
2025-01-10,1508.0,1510.5,1495.0,1508.0,1503.55322265625,365978.0
2025-01-13,1495.0,1497.5,1480.0,1487.0,1482.614990234375,393446.0
2025-01-14,1480.0,1487.5,1446.5,1454.5,1450.2110595703125,327686.0
2025-01-15,1453.5,1458.0,1445.5,1451.5,1447.219970703125,379652.0
2025-01-16,1468.0,1481.0,1463.5,1480.0,1475.6356201171875,308908.0
2025-01-17,1491.5,1519.0,1488.0,1492.0,1487.600341796875,395343.0
2025-01-20,1492.0,1498.5,1471.5,1471.5,1467.1607666015625,232942.0
2025-01-21,1473.5,1500.5,1471.0,1499.0,1494.5797119140625,235985.0
2025-01-22,1495.5,1505.5,1489.0,1499.0,1494.5797119140625,214444.0
2025-01-23,1506.0,1516.0,1501.5,1505.5,1501.060546875,273409.0
2025-01-24,1518.0,1518.5,1501.5,1511.5,1507.04296875,308230.0
2025-01-27,1512.0,1535.5,1510.0,1532.5,1527.9808349609375,267301.0
2025-01-28,1534.0,1550.5,1528.5,1536.0,1531.470703125,318255.0
2025-01-29,1532.5,1553.0,1528.5,1540.5,1535.9573974609375,197323.0
2025-01-30,1541.0,1558.0,1533.5,1556.0,1551.41162109375,176930.0
2025-01-31,1571.0,1572.0,1557.5,1566.0,1561.3822021484375,156964.0
2025-02-03,1554.5,1574.0,1554.5,1566.0,1561.3822021484375,256485.0
2025-02-04,1550.0,1556.0,1507.5,1522.0,1517.51171875,373049.0
2025-02-05,1520.0,1531.5,1504.0,1524.5,1520.0045166015625,403233.0
2025-02-06,1557.5,1627.0,1551.5,1612.5,1607.7449951171875,555672.0
2025-02-07,1579.0,1590.0,1565.0,1576.5,1571.8511962890625,320697.0
2025-02-10,1580.0,1599.5,1572.0,1589.5,1584.8128662109375,190928.0
2025-02-11,1582.5,1584.5,1564.5,1576.5,1571.8511962890625,181720.0
2025-02-12,1578.5,1608.0,1573.0,1603.0,1598.2730712890625,243093.0
2025-02-13,1624.5,1637.0,1606.5,1621.0,1616.2198486328125,292465.0
2025-02-14,1612.0,1612.0,1580.5,1583.5,1578.83056640625,342515.0
2025-02-17,1580.0,1588.0,1575.0,1587.0,1582.3203125,156267.0
2025-02-18,1591.0,1604.5,1582.5,1593.5,1588.801025390625,252001.0
2025-02-19,1598.5,1602.5,1587.0,1587.0,1582.3203125,219149.0
2025-02-20,1555.0,1571.0,1551.0,1568.0,1565.0330810546875,404049.0
2025-02-21,1565.5,1582.5,1558.5,1579.5,1576.5111083984375,431143.0
2025-02-24,1580.5,1598.0,1579.0,1589.0,1585.9931640625,264146.0
2025-02-25,1590.0,1615.0,1589.0,1608.5,1605.456298828125,237702.0
2025-02-26,1630.5,1645.0,1606.5,1609.0,1605.955322265625,460985.0
2025-02-27,1605.0,1634.0,1596.0,1630.0,1626.9156494140625,338232.0
2025-02-28,1623.0,1635.0,1616.5,1622.0,1618.9307861328125,295227.0
2025-03-03,1622.0,1628.5,1606.5,1607.0,1603.9591064453125,375268.0
2025-03-04,1607.0,1639.0,1603.5,1625.0,1621.925048828125,457533.0
2025-03-05,1613.0,1613.5,1584.5,1596.0,1592.97998046875,410343.0
2025-03-06,1586.0,1587.5,1564.0,1582.5,1579.505615234375,339353.0
2025-03-07,1574.5,1575.0,1562.5,1572.0,1569.025390625,235706.0
2025-03-10,1560.0,1560.5,1529.5,1553.5,1550.5604248046875,284282.0
2025-03-11,1536.5,1542.0,1494.5,1499.5,1496.6624755859375,353629.0
2025-03-12,1500.0,1533.0,1498.0,1520.5,1517.6229248046875,361703.0
2025-03-13,1534.0,1569.5,1531.0,1569.0,1566.031005859375,404628.0
2025-03-14,1568.0,1575.5,1555.0,1573.5,1570.5225830078125,214782.0
2025-03-17,1585.5,1585.5,1549.5,1563.0,1560.04248046875,223416.0
2025-03-18,1563.0,1567.5,1545.5,1551.5,1548.5640869140625,236841.0
2025-03-19,1551.5,1564.0,1544.0,1552.0,1549.063232421875,238612.0
2025-03-20,1542.5,1569.0,1541.5,1555.0,1552.0574951171875,243844.0
2025-03-21,1552.0,1552.0,1523.0,1525.0,1522.1143798828125,447013.0
2025-03-24,1522.5,1524.0,1489.5,1502.5,1499.656982421875,330995.0
2025-03-25,1494.5,1508.5,1474.5,1477.5,1474.7042236328125,273713.0
2025-03-26,1474.0,1476.0,1443.0,1457.5,1454.741943359375,331642.0
2025-03-27,1457.5,1463.0,1448.0,1458.5,1455.7401123046875,276079.0
2025-03-28,1462.5,1484.0,1461.0,1480.0,1477.1993408203125,229467.0
2025-03-31,1475.0,1477.0,1450.0,1459.0,1456.2392578125,354464.0
2025-04-01,1481.0,1488.0,1460.0,1470.0,1467.2183837890625,248603.0
2025-04-02,1463.0,1464.0,1430.5,1444.5,1441.7667236328125,443988.0
2025-04-03,1440.0,1471.0,1430.0,1456.0,1453.2449951171875,649734.0
2025-04-04,1444.0,1462.5,1400.0,1403.0,1400.34521484375,749316.0
2025-04-07,1359.5,1367.0,1289.5,1289.5,1287.0599365234375,1014275.0
2025-04-08,1297.0,1343.0,1291.0,1325.0,1322.4927978515625,785030.0
2025-04-09,1281.0,1283.0,1226.0,1235.5,1233.1622314453125,992465.0
2025-04-10,1330.0,1330.0,1271.5,1279.0,1276.5797119140625,656152.0
2025-04-11,1283.5,1295.0,1261.5,1285.0,1282.5684814453125,433804.0
2025-04-14,1301.5,1322.5,1291.5,1318.5,1316.0050048828125,513256.0
2025-04-15,1319.5,1345.0,1314.5,1344.5,1341.955810546875,287338.0
2025-04-16,1344.0,1349.0,1320.0,1330.5,1327.982421875,251699.0
2025-04-17,1319.5,1323.0,1298.0,1302.0,1299.536376953125,204957.0
2025-04-22,1298.0,1299.0,1255.0,1290.5,1288.05810546875,380442.0
2025-04-23,1311.0,1333.0,1308.5,1324.5,1321.9937744140625,358342.0
2025-04-24,1330.0,1338.0,1314.5,1337.0,1334.4700927734375,175644.0
