date,open,high,low,close,adjclose,volume
2024-08-13,530.0,532.5,526.0,530.5,520.4964599609375,59970
2024-08-14,532.5,535.0,530.0,535.0,524.91162109375,47702
2024-08-15,535.5,542.0,535.0,539.5,529.3267822265625,46684
2024-08-16,540.0,544.0,538.5,542.0,531.7796020507812,72875
2024-08-19,542.0,544.0,539.5,544.0,533.7418823242188,57138
2024-08-20,544.0,546.5,539.5,540.5,530.3079223632812,65651
2024-08-21,540.5,546.0,539.5,542.5,532.2702026367188,120285
2024-08-22,542.5,548.0,541.0,547.0,536.6853637695312,46383
2024-08-23,547.0,554.5,547.0,552.5,542.0816040039062,46675
2024-08-26,552.5,557.0,551.0,554.0,543.5533447265625,57960
2024-08-27,555.0,558.5,552.5,553.0,542.5722045898438,70271
2024-08-28,553.0,564.5,553.0,560.5,549.9307861328125,112225
2024-08-29,560.5,564.5,560.0,562.5,551.89306640625,47644
2024-08-30,563.0,567.0,559.0,563.0,552.3836059570312,203912
2024-09-02,563.0,569.0,559.0,567.0,556.3081665039062,55395
2024-09-03,567.0,569.0,558.0,558.0,547.4779052734375,121420
2024-09-04,551.5,555.5,549.0,552.5,542.0816040039062,82963
2024-09-05,552.5,555.5,548.0,548.0,537.66650390625,76141
2024-09-06,547.5,555.5,544.0,547.5,537.1759033203125,73198
2024-09-09,549.0,556.0,549.0,554.0,543.5533447265625,52851
2024-09-10,554.5,561.0,554.5,558.5,547.968505859375,71210
2024-09-11,558.5,560.5,550.0,552.0,541.591064453125,50136
2024-09-12,558.5,563.5,556.5,562.0,551.4025268554688,80638
2024-09-13,563.5,567.5,560.0,564.0,553.3648071289062,107655
2024-09-16,564.5,566.5,561.5,564.5,553.8553466796875,58663
2024-09-17,565.0,568.0,562.5,564.0,553.3648071289062,81219
2024-09-18,563.5,563.5,556.0,558.0,547.4779052734375,84335
2024-09-19,562.5,571.5,559.5,569.5,558.7611083984375,76054
2024-09-20,568.5,570.5,566.5,567.5,556.798828125,126591
2024-09-23,567.5,572.0,563.5,570.5,559.7421875,31014
2024-09-24,573.0,574.0,560.5,565.0,554.3458862304688,90853
2024-09-25,564.5,571.0,564.5,569.0,558.2705078125,61287
2024-09-26,571.5,580.5,571.5,579.0,568.0819091796875,64747
2024-09-27,579.0,581.0,575.5,578.0,567.100830078125,77955
2024-09-30,578.0,581.0,577.5,581.0,570.044189453125,115562
2024-10-01,580.0,586.5,579.5,580.0,569.0631103515625,101691
