,name,sector,close,atr14,atr_pct,vol20d_ann,rsi14,turnover_sek,ret_1d,ret_5d,ret_21d,momentum,trend,reversal,volume,fundamental,sentiment,macro,score,confidence,qual_notes
SSAB-B.ST,SSAB B,Material,99.8000030517578,3.432123212607547,0.03439001109877317,0.4328269225973128,47.38009466786337,280789965.9161873,-0.0019999694824219816,-0.054028407092343134,0.00808083890664446,0.6375874651278873,0.26362264591708834,0.7155096534464422,0.8319913641901179,0.0,0.0,0.0,0.31209079672368517,0.564,
SAVE.ST,Nordnet,Finans,368.3999938964844,6.57360625222827,0.017843665475400002,0.16941436093820159,57.0379031325357,55546655.06496735,0.0032679238822479473,0.010976948592200886,0.007107726053252605,0.3355945888504419,0.7272370314344772,0.07195523210985517,-0.026261368419090096,0.0,0.0,0.0,0.19886665671781306,0.471,
SWED-A.ST,Swedbank A,Finans,371.6000061035156,5.193776303871719,0.01397679283790136,0.144120538039814,47.56119988986081,463027263.6522064,0.009234095012937038,-0.017191218976654654,0.0016172671253791293,0.3838157560004359,0.3034978915369947,0.4421949311999934,0.20971135283717568,0.0,0.0,0.0,0.1961836834925163,0.564,
SINCH.ST,Sinch,Teknik,45.619998931884766,1.4854844711262478,0.03256213296594384,0.38136751775969224,67.72552192413283,89334903.2806715,0.00750883749456599,0.03752553253068247,0.17094455862208746,0.4183731437496876,0.7513002536752718,-0.3073145470810957,-0.08102055882920027,0.0,0.0,0.0,0.1825058413391431,0.378,
AZA.ST,Avanza Bank,Finans,400.2000122070313,7.299904815369611,0.018240641161183242,0.12596956829053668,56.85829255043697,84126798.53649445,0.00275621670431736,0.011116787644682935,0.030381098084393487,0.18060298940738276,0.7458047497534517,0.07403093817913386,-0.015111766695602592,0.0,0.0,0.0,0.16366896529799668,0.471,
SAAB-B.ST,Saab B,Industri,643.5999755859375,19.96621124438688,0.031022703545334217,0.2874184899800654,54.66421511102297,986991674.8147278,0.0021799491627150225,-0.06453491920648624,0.09567577261838722,0.27903517058311805,0.22253307709139813,0.6256084808145299,-0.1330459215973107,0.0,0.0,0.0,0.15904730621107668,0.471,
NDA-SE.ST,Nordea,Finans,192.8999938964844,2.461297715169939,0.012759449419634201,0.1283971339594643,59.250027969783275,257703110.57110214,0.008891197569958154,0.010212081588934385,0.013304603825597727,0.18811976445334128,0.7421526401713021,0.039368012518686386,-0.11108158288400183,0.0,0.0,0.0,0.15673555924669919,0.471,
SEB-A.ST,SEB A,Finans,220.1999969482422,3.05020357701376,0.013851969206569552,0.141245582704007,57.176343079611584,409409889.48821485,0.009628568482157096,0.0009090770374644563,0.007319262580298913,0.3355635721574496,0.31772246225612844,0.14340897953546763,0.09723422698268944,0.0,0.0,0.0,0.1507518716804629,0.564,
TREL-B.ST,Trelleborg B,Industri,439.3999938964844,6.97700259158754,0.015878476760359743,0.16177816071336656,61.929129106342465,95727222.49554138,0.0045724737720809205,0.030004659188548555,0.048687336268459225,0.14324697825945942,0.7472906388434646,-0.15206405872290762,0.22459667582857223,0.0,0.0,0.0,0.14392876831052237,0.471,
ALFA.ST,Alfa Laval,Industri,570.7999877929688,9.568685542258436,0.01676364006112949,0.18870742234940183,56.70542010219714,185276681.25392762,0.008480543803831786,0.036687274069590714,-0.006613275242648209,0.20046205946160672,0.7175152229137681,-0.11087970984771711,-0.06954471324073203,0.0,0.0,0.0,0.14317759165565858,0.378,
ESSITY-B.ST,Essity B,Dagligvaror,282.8999938964844,4.586356641158433,0.016211936161570305,0.20001626679419235,58.87997098195533,293539492.15125275,0.006045453825235025,0.04429678948086435,0.02388710240718872,0.10909699368012185,0.7513002536752718,-0.204241217657609,0.46203161375800567,0.0,0.0,0.0,0.14264674539346062,0.471,
GETI-B.ST,Getinge B,Halsovard,244.8999938964844,3.77041482299382,0.015395732613156039,0.1271527458501331,73.33109961155651,92577258.67541428,-0.00040818817761467674,0.017871935510753056,0.06339553040060264,0.2948990816418602,0.7459114340721702,-0.2599552128474486,-0.37046420453372886,0.0,0.0,0.0,0.1410927540098593,0.378,
ATCO-A.ST,Atlas Copco A,Industri,205.3999938964844,4.118999159170367,0.020053550543171986,0.23529303334694493,54.67973028467925,646291889.1272224,0.009832841986307406,0.015323731082364178,0.007356547547330949,0.3453942529779005,0.31942603823405885,0.08079223163593843,-0.03674444833290608,0.0,0.0,0.0,0.14050446972653247,0.471,
SHB-A.ST,Handelsbanken A,Finans,145.60000610351562,1.958116069017735,0.013448598811359904,0.13279360715719293,50.79745789049082,448765083.55409545,0.007263943476928603,-0.015218125851308328,0.014987864768301051,0.2176632975048243,0.3268075200468816,0.3718418261381745,-0.07703424437683955,0.0,0.0,0.0,0.13676942277821377,0.471,
